,track_name,artist_name,energy,key,speechiness,acousticness,instrumentalness,liveness
104,Ophelia,The Lumineers,0.573,5,0.0277,0.613,0.000363,0.0857
105,Oh No!,MARINA,0.896,0,0.039,0.0539,0.0,0.243
106,Disturbia,Rihanna,0.813,11,0.0571,0.0863,0.0,0.168
107,ok boomer (feat. Jed Will),Peter Kuli,0.518,1,0.416,0.092,0.0,0.071
108,Corduroy Dreams,Rex Orange County,0.305,4,0.053,0.653,0.0,0.103
109,Birthday Suit,Cosmo Sheldrake,0.574,8,0.231,0.837,9.48e-05,0.121
110,All You Wanna Do,SIX,0.532,11,0.187,0.302,0.0,0.0855
111,Falling,Trevor Daniel,0.431,10,0.0364,0.123,0.0,0.0887
112,Candy,Doja Cat,0.516,8,0.0444,0.513,0.0,0.163
113,This Could Be Us,Rae Sremmurd,0.69,0,0.134,0.291,0.0,0.116
114,Poker Face,Lady Gaga,0.806,4,0.0788,0.12,1.39e-06,0.122
115,L.O.V.E.,Harrison Craig,0.412,11,0.0363,0.72,0.0,0.153
116,Sweet Caroline,Neil Diamond,0.127,11,0.0274,0.611,0.000109,0.237
117,I'm Gonna Show You Crazy,Bebe Rexha,0.537,2,0.0649,0.0758,0.0,0.316
118,Love Me,Justin Bieber,0.868,5,0.0656,0.00939,0.0,0.283
119,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,0.741,10,0.0287,0.101,1.41e-05,0.289
120,Tungs,The Frights,0.618,1,0.104,0.0697,6.37e-05,0.509
121,Best Friend,Rex Orange County,0.714,6,0.0596,0.395,0.0,0.115
122,Video Games,The Young Professionals,0.893,4,0.0376,0.0303,0.0,0.0561
123,Cha Cha,Freddie Dredd,0.696,1,0.172,0.487,0.0718,0.128
124,Change Ya Life,Haiti Babii,0.399,4,0.0369,0.0224,0.0,0.0747
125,Oh Nanana Challenge,Bonde R300,0.842,1,0.261,0.0597,3.11e-06,0.319
126,Hot Dog!,They Might Be Giants (For Kids),0.674,7,0.0811,0.448,3.59e-06,0.0774
127,Baby Powder,Bandingo YGNE,0.439,1,0.365,0.357,0.0,0.162
128,VALENTINO,24kGoldn,0.717,9,0.179,0.199,0.0,0.132
129,You Belong With Me,Taylor Swift,0.745,6,0.0379,0.178,1.59e-05,0.111
130,Moment 4 Life,Nicki Minaj,0.882,11,0.236,0.406,0.0,0.241
131,Leaked,Lil Tjay,0.613,7,0.105,0.816,0.0,0.0816
132,Lottery (Renegade),K CAMP,0.556,1,0.216,0.0145,0.000179,0.0733
133,Good Morning,Mak Sauce,0.543,11,0.492,0.0603,0.0,0.0672
134,It's Up Freestyle,Lil Keed,0.391,7,0.701,0.0216,0.0,0.0968
135,Walls Could Talk,Halsey,0.423,1,0.0513,0.128,0.0,0.18
136,Tonight You Belong To Me,Patience & Prudence,0.32,10,0.0289,0.954,0.0,0.0948
137,u U U U u U did i mfken stutter?,swimcoach,0.414,8,0.663,0.0139,4.11e-06,0.0935
138,sex,EDEN,0.521,9,0.0466,0.162,0.0,0.323
139,Somebody That I Used To Know,Gotye,0.512,0,0.0363,0.599,0.000137,0.103
140,Amour plastique,Videoclub,0.354,6,0.0345,0.765,0.00158,0.128
141,A.M.,Lonr.,0.761,0,0.0851,0.0691,0.0,0.142
142,The Love Club,Lorde,0.493,5,0.0563,0.212,0.0133,0.13
143,Cartier,Dopebwoy,0.778,0,0.217,0.0358,1.43e-06,0.126
144,Fuck You,Lily Allen,0.904,1,0.0437,0.0271,0.000303,0.06
145,Chanel,Frank Ocean,0.503,0,0.237,0.874,0.0,0.112
146,Pompeii,Bastille,0.715,9,0.0407,0.0755,0.0,0.271
147,No Idea,Don Toliver,0.631,6,0.0896,0.519,0.000579,0.165
148,Sweater Weather,The Neighbourhood,0.807,10,0.0336,0.0495,0.0177,0.101
149,Drip Boy,Saint Bone,0.433,1,0.352,0.182,0.0,0.299
150,I Can't Decide,Scissor Sisters,0.807,3,0.0326,0.239,0.0,0.205
151,Just Give Me a Reason (feat. Nate Ruess),P!nk,0.547,2,0.0489,0.346,0.000302,0.132
152,Griztronics,GRiZ,0.941,11,0.481,0.037,0.0137,0.321
153,Back Up (feat. Big Sean),DeJ Loaf,0.535,9,0.338,0.147,4.53e-06,0.176
154,Out There,Patrick Page,0.469,1,0.046,0.796,4.56e-06,0.0774
155,Choices (Yup),E-40,0.604,9,0.338,0.153,0.000252,0.0914
156,I Can't Handle Change,Roar,0.438,5,0.0358,0.0447,0.000867,0.111
157,I Will Survive - Single Version,Gloria Gaynor,0.649,0,0.0434,0.0137,0.00111,0.324
158,Low (feat. T-Pain),Flo Rida,0.609,10,0.0791,0.0928,0.0,0.139
159,Rather Be (feat. Jess Glynne),Clean Bandit,0.586,11,0.0377,0.162,2.03e-06,0.193
160,I Lived,Kenny Packer,0.674,2,0.0336,0.215,1.97e-05,0.157
161,Stolen Dance,Milky Chance,0.581,11,0.0378,0.427,0.000204,0.0759
162,Can't Stop Singing,Ross Lynch,0.69,0,0.0341,0.51,0.0,0.102
163,Wouldn't It Be Nice - Remastered 1999,The Beach Boys,0.543,5,0.0347,0.536,2.54e-05,0.125
164,Cherry Cola,Kuwada,0.635,5,0.0392,0.764,2.25e-06,0.155
165,Entropy (2014 Original),Awkward Marina,0.513,8,0.0598,0.22,0.0,0.138
166,Let Me Hit It - Audiostalkers Original Mix,Sporty-O,0.798,1,0.146,0.000122,0.222,0.0194
167,Devil Town,Cavetown,0.758,3,0.0586,0.122,0.0,0.121
