,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
167,0.832,9,0.0523,1.84e-06,0.189,0.0727,0
168,0.325,11,0.0374,0.942,9.69e-05,0.144,0
169,0.664,10,0.0306,0.00181,0.00871,0.129,0
170,0.203,0,0.0348,0.951,0.000111,0.0882,0
171,0.885,0,0.0461,0.00362,0.0767,0.294,0
172,0.823,7,0.0369,0.0432,0.0,0.114,0
173,0.699,9,0.0313,0.000268,2.48e-05,0.111,0
174,0.862,0,0.0334,2.82e-05,6.1e-06,0.605,0
175,0.414,1,0.579,0.225,0.0,0.111,0
176,0.567,11,0.494,0.0421,0.0,0.0933,0
177,0.648,3,0.42,0.0168,0.0,0.0675,0
178,0.776,11,0.354,0.0405,0.0,0.139,0
179,0.392,2,0.553,0.0282,0.0,0.356,0
180,0.536,1,0.358,0.0154,0.0,0.121,0
181,0.7,1,0.406,0.0915,0.0,0.114,0
182,0.872,7,0.102,0.0237,1.49e-06,0.122,0
183,0.604,1,0.0327,0.212,0.0,0.218,0
184,0.498,2,0.0318,0.0187,4.26e-05,0.136,0
185,0.753,2,0.0408,0.00793,0.000574,0.141,0
186,0.000293,0,0.0933,0.000303,0.962,0.154,0
187,0.217,0,0.0493,0.936,0.0258,0.661,0
188,0.745,0,0.0475,0.31,0.99,0.253,0
189,0.469,1,0.147,0.7,0.998,0.111,0
190,2.02e-05,10,0.0,0.0432,0.000625,0.362,0
191,0.00203,1,0.0,0.108,0.244,0.741,0
192,1.0,7,0.0393,0.119,0.265,0.699,0
193,2e-05,0,0.0,0.129,0.389,0.305,0
194,0.487,1,0.176,0.652,0.995,0.111,0
195,0.446,9,0.0482,0.926,0.975,0.193,0
196,1.98e-05,9,0.0,0.962,1.0,0.968,0
197,0.0017,0,0.0,0.284,0.997,0.149,0
198,0.0372,0,0.0484,0.64,0.904,0.125,0
199,1.97e-05,9,0.0,0.202,0.997,0.439,0
200,0.171,5,0.0412,0.996,0.963,0.0769,0
201,0.105,0,0.0424,0.000414,0.963,0.0766,0
202,0.45,2,0.0585,0.956,0.997,0.0977,0
203,0.0293,5,0.0668,0.996,0.951,0.0864,0
204,0.0269,0,0.0481,0.884,0.993,0.0668,0
205,0.0535,0,0.0,0.95,0.999,0.241,0
206,0.483,1,0.156,0.698,0.998,0.111,0
207,0.0727,0,0.0488,0.837,0.976,0.109,0
208,2.74e-05,5,0.0,0.376,1.0,0.111,0
209,0.00022,0,0.0,0.132,0.326,0.112,0
210,0.384,7,0.0584,0.674,0.783,0.105,0
211,0.00028,1,0.0,0.838,0.717,0.0963,0
212,0.004,0,0.0495,0.768,0.00388,0.1,0
213,0.136,0,0.0416,0.975,5.66e-06,0.178,0
214,0.521,0,0.0571,0.151,0.936,0.298,0
215,0.641,0,0.0271,0.495,0.0,0.144,0
216,0.828,1,0.0274,0.357,0.000122,0.2,0
217,0.331,7,0.0366,0.116,0.812,0.0977,0
218,0.244,4,0.0276,0.934,5.18e-05,0.141,0
219,0.317,7,0.0284,0.835,0.000209,0.139,0
220,0.54,0,0.0263,0.783,1.48e-05,0.319,0
221,0.321,2,0.0321,0.842,0.001,0.203,0
222,0.674,9,0.0334,0.785,0.000539,0.0949,0
223,0.686,6,0.0523,0.149,0.0,0.16,0
224,0.549,11,0.211,0.0953,0.0,0.098,0
225,0.603,1,0.324,0.103,0.0,0.348,0
226,0.489,11,0.177,0.0461,0.0,0.132,0
227,0.585,4,0.0477,0.11,0.0,0.143,0
228,0.675,7,0.14,0.159,0.0,0.0728,0
229,0.666,8,0.0374,0.0465,8.02e-06,0.0898,0
230,0.72,4,0.052,0.0564,0.0,0.0867,0
231,0.751,7,0.0469,0.0531,0.0,0.202,0
232,0.602,7,0.0584,0.163,0.0,0.113,0
233,0.821,1,0.185,0.00242,0.0,0.289,0
234,0.47,5,0.0408,0.000631,5.03e-05,0.22,0
235,0.593,10,0.0931,0.0514,3.17e-06,0.18,0
236,0.536,8,0.419,0.0088,0.0,0.117,0
237,0.52,11,0.605,0.0826,0.0,0.153,0
238,0.535,11,0.949,0.0623,0.0,0.0485,0
239,0.77,6,0.31,0.00143,0.0,0.124,0
240,0.864,8,0.225,0.00204,0.0,0.328,0
241,0.632,2,0.0847,0.00164,1.73e-06,0.251,0
242,0.554,8,0.081,0.000157,2.27e-06,0.0339,0
243,0.235,6,0.417,0.513,0.581,0.106,0
244,0.0871,10,0.893,0.917,2.51e-06,0.264,0
245,0.286,6,0.863,0.909,0.000874,0.122,0
246,0.223,11,0.473,0.919,0.616,0.111,0
247,0.38,5,0.212,0.241,0.234,0.745,0
248,0.145,5,0.504,0.505,0.126,0.117,0
249,0.249,10,0.339,0.919,0.26,0.203,0
250,0.311,6,0.858,0.899,0.000671,0.102,0
251,0.641,2,0.0872,0.355,0.0,0.367,0
252,0.762,9,0.0426,0.283,0.000412,0.181,0
253,0.518,9,0.0302,0.398,0.000666,0.143,0
254,0.788,1,0.0544,0.294,0.000236,0.194,0
255,0.894,7,0.0645,0.175,3.65e-06,0.194,0
256,0.591,2,0.0352,0.173,0.000464,0.179,0
257,0.654,9,0.0461,0.153,0.0,0.0534,0
258,0.728,0,0.029,0.334,0.0,0.0829,0
259,0.449,4,0.0444,0.907,0.818,0.234,0
260,0.299,1,0.154,0.0556,0.00252,0.0543,0
261,0.00728,10,0.0658,0.987,0.947,0.166,0
262,0.105,2,0.0452,0.994,0.851,0.137,0
263,0.558,6,0.427,0.246,0.0,0.122,0
264,0.557,11,0.366,0.0454,0.0853,0.107,0
265,0.568,1,0.29,0.205,0.327,0.102,0
266,0.777,9,0.0357,0.0104,0.959,0.619,0
267,0.262,9,0.0882,0.772,0.887,0.336,0
268,0.646,5,0.0692,0.144,0.776,0.123,0
269,0.963,0,0.0584,0.000245,0.898,0.102,0
270,0.94,11,0.128,6.33e-05,0.903,0.0738,0
271,0.778,10,0.0324,0.385,0.92,0.568,0
272,0.517,11,0.154,0.149,0.262,0.0879,0
273,0.559,9,0.276,0.014,0.0,0.167,0
274,0.349,2,0.0349,0.699,0.0,0.136,0
275,0.114,3,0.0397,0.928,0.0,0.0996,0
276,0.367,10,0.127,0.0108,0.0,0.0811,0
277,0.286,6,0.085,0.0853,0.0,0.109,0
278,0.0872,2,0.436,0.502,0.0,0.933,0
279,0.49,5,0.328,0.000833,1.71e-05,0.106,0
280,0.189,3,0.0369,0.962,0.82,0.13,0
281,0.112,2,0.425,0.121,0.964,0.105,0
282,0.343,7,0.0811,0.967,0.871,0.111,0
283,0.338,9,0.443,0.0256,0.936,0.0983,0
284,0.648,9,0.0855,0.978,0.972,0.0739,0
285,0.0657,9,0.117,0.992,0.427,0.114,0
286,0.0341,9,0.186,0.82,0.967,0.108,0
287,0.704,9,0.0872,0.862,0.842,0.0849,0
288,0.316,7,0.0423,0.96,0.952,0.0802,0
289,0.257,9,0.0874,0.687,0.967,0.112,0
290,0.518,2,0.271,0.112,0.0,0.106,0
291,0.5,1,0.316,0.0495,0.0,0.104,0
292,0.508,4,0.568,0.038,0.0,0.0909,0
293,0.538,4,0.0388,0.000363,0.00116,0.0888,0
294,0.427,4,0.143,0.111,0.0,0.107,0
295,0.797,6,0.381,0.425,0.0,0.114,0
296,0.6,1,0.411,0.2,0.0,0.107,0
297,0.431,2,0.0774,0.0896,0.301,0.107,0
298,0.705,4,0.0595,0.0563,0.0,0.263,0
299,0.455,11,0.304,0.0265,1.54e-06,0.104,0
300,0.0919,2,0.0747,0.696,0.833,0.362,0
