,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
292,0.69,0,0.0341,0.51,0.0,0.102,1
293,0.487,2,0.194,0.237,0.0,0.0978,1
294,0.632,5,0.0976,0.695,0.0243,0.209,1
295,0.803,4,0.0795,0.0148,4e-06,0.29,1
296,0.404,1,0.379,0.484,0.0,0.0953,1
297,0.677,6,0.0316,0.112,0.0,0.111,1
298,0.601,6,0.148,0.0522,0.0,0.46,1
299,0.468,5,0.0287,0.153,0.00257,0.321,1
300,0.871,1,0.214,0.00567,0.391,0.101,1
301,0.132,5,0.0386,0.914,0.000707,0.281,1
302,0.597,2,0.0627,0.00252,0.0,0.124,1
303,0.873,5,0.0369,0.0406,9.1e-06,0.0824,1
304,0.386,9,0.0548,0.755,0.00253,0.118,1
305,0.793,11,0.0842,0.0125,0.0,0.0952,1
306,0.45,7,0.515,0.433,0.0,0.513,1
307,0.516,8,0.0444,0.513,0.0,0.163,1
308,0.573,5,0.0277,0.613,0.000363,0.0857,1
309,0.417,1,0.524,0.374,0.0,0.186,1
310,0.93,2,0.0441,0.0056,0.0,0.242,1
311,0.756,2,0.0652,0.0511,0.0,0.0765,1
312,0.689,4,0.0337,0.0884,0.0,0.0922,1
313,0.694,1,0.0572,0.0493,1.15e-05,0.105,1
314,0.472,11,0.447,0.0488,0.000157,0.116,1
315,0.649,1,0.196,0.188,0.0,0.122,1
316,0.349,9,0.0877,0.967,0.037,0.228,1
317,0.799,9,0.0261,0.0128,0.0,0.15,1
318,0.436,0,0.0418,0.618,1.61e-05,0.335,1
319,0.599,6,0.227,0.00301,0.000249,0.0763,1
320,0.513,10,0.309,0.571,0.0,0.101,1
321,0.641,11,0.204,0.119,4.97e-06,0.427,1
322,0.786,2,0.0692,0.229,0.0,0.0797,1
323,0.711,11,0.0779,0.0444,0.0,0.145,1
324,0.505,11,0.293,0.0446,9.52e-06,0.122,1
325,0.402,1,0.0857,0.0297,0.00018,0.0801,1
326,0.338,10,0.0329,0.652,3.73e-06,0.248,1
327,0.654,8,0.298,0.055,0.0,0.214,1
328,0.39,1,0.302,0.214,6.06e-06,0.058,1
329,0.441,11,0.283,0.029,0.0707,0.306,1
330,0.683,10,0.165,0.00667,0.0,0.241,1
331,0.683,8,0.0287,0.156,2.32e-05,0.273,1
332,0.412,7,0.0301,0.488,0.00016,0.0659,1
333,0.848,2,0.222,0.033,7.46e-05,0.65,1
334,0.296,1,0.907,0.00348,0.0,0.176,1
335,0.591,8,0.225,0.0104,0.0,0.196,1
